messageKey,,en,de,es,fr,pt,ru
blueprint.horizons.description.engineer_c1,Juri Ishmaak is an ambitious combat specialist whose father was a pilot in a mercenary wing. He followed in his father''s footsteps operating with the wing. He believes in careful preparation before any combat. After retiring from combat he set up a base of operations to focus on his passion for engineering. Develop your relationship with him to learn about another engineer.,Juri Ishmaak is an ambitious combat specialist whose father was a pilot in a mercenary wing. He followed in his father''s footsteps operating with the wing. He believes in careful preparation before any combat. After retiring from combat he set up a base of operations to focus on his passion for engineering. Develop your relationship with him to learn about another engineer.,"Juri Ishmaak ist ein ehrgeiziger Kampfspezialist, dessen Vater Pilot in einem Söldnerflügel war. Er trat in die Fußstapfen seines Vaters mit dem Flügel. Er glaubt an eine sorgfältige Vorbereitung vor einem Kampf. Nachdem er sich aus dem Kampf zurückgezogen hatte, richtete er eine Operationsbasis ein, um sich auf seine Leidenschaft für das Ingenieurwesen zu konzentrieren. Entwickeln Sie Ihre Beziehung zu ihm, um etwas über einen anderen Ingenieur zu lernen.","Juri Ishmaak es un ambicioso especialista en combate cuyo padre era piloto en un ala mercenaria. Siguió los pasos de su padre operando con el ala. Él cree en una preparación cuidadosa antes de cualquier combate. Después de retirarse del combate, estableció una base de operaciones para centrarse en su pasión por la ingeniería. Desarrolle su relación con él para aprender sobre otro ingeniero.","Juri Ishmaak est un ambitieux spécialiste de combat dont le père était pilote dans une aile mercenaire. Il a suivi les traces de son père opérant avec l''aile. Il croit en une préparation minutieuse avant tout combat. Après avoir pris sa retraite du combat, il a mis en place une base d''opérations pour se concentrer sur sa passion pour l''ingénierie. Développez votre relation avec lui pour en savoir plus sur un autre ingénieur.","Juri Ismaak é um ambicioso especialista em combate cujo pai era piloto em uma ala mercenária. Ele seguiu os passos de seu pai operando com a asa. Ele acredita em uma preparação cuidadosa antes de qualquer combate. Depois de se aposentar do combate, ele estabeleceu uma base de operações para se concentrar em sua paixão pela engenharia. Desenvolva seu relacionamento com ele para aprender sobre outro engenheiro.","Джури Ишмаак - амбициозный специалист по боевым бою, чей отец был пилотом в крыле наемника. Он пошел по стопам своего отца, работая с крылом. Он верит в осторожную подготовку перед боем. После ухода из боя он создал базу операций, чтобы сосредоточиться на своей страсти к инженерии. Развивайте свои отношения с ним, чтобы узнать о другом инженере."
blueprint.horizons.description.engineer_c1a,"Colonel Bris Dekker retired with full honours a decade ago. He served as a Federal Navy officer as part of an elite recon squadron and has an almost natural affinity for frame shift technology. Even though he is retired, the navy call on him to evaluate any changes or upgrades. His facility has recently been vastly upgraded to support the training courses that he provides as well as his regular workshops. Develop your relationship with him to discover another engineer.","Colonel Bris Dekker retired with full honours a decade ago. He served as a Federal Navy officer as part of an elite recon squadron and has an almost natural affinity for frame shift technology. Even though he is retired, the navy call on him to evaluate any changes or upgrades. His facility has recently been vastly upgraded to support the training courses that he provides as well as his regular workshops. Develop your relationship with him to discover another engineer.","Oberst Bris Dekker zog sich vor einem Jahrzehnt mit vollständigen Auszeichnungen zurück. Er diente als Bundesmarinebeauftragter als Teil einer Elite Recon -Staffel und hat eine fast natürliche Affinität zur Rahmenverschiebungstechnologie. Obwohl er im Ruhestand ist, fordert die Marine ihn auf, Änderungen oder Upgrades zu bewerten. Seine Einrichtung wurde kürzlich erheblich verbessert, um die von ihm anbietenden Schulungskurse sowie seine regelmäßigen Workshops zu unterstützen. Entwickeln Sie Ihre Beziehung zu ihm, um einen anderen Ingenieur zu entdecken.","El coronel Bris Dekker se retiró con todos los honores hace una década. Sirvió como oficial de la Marina Federal como parte de un escuadrón de reconocimiento de élite y tiene una afinidad casi natural por la tecnología de cambio de cuadro. A pesar de que está retirado, la Marina le pide que evalúe cualquier cambio o actualización. Su instalación se ha actualizado recientemente para apoyar los cursos de capacitación que proporciona, así como sus talleres regulares. Desarrolle su relación con él para descubrir a otro ingeniero.","Le colonel Bris Dekker a pris sa retraite avec des honneurs à part entière il y a dix ans. Il a été officier fédéral de la Marine dans le cadre d''un escadron de Recon Elite et a une affinité presque naturelle pour la technologie de décalage de cadre. Même s''il est à la retraite, la Marine l''appelle à évaluer les modifications ou les mises à niveau. Son établissement a récemment été largement amélioré pour soutenir les cours de formation qu''il offre ainsi que ses ateliers réguliers. Développez votre relation avec lui pour découvrir un autre ingénieur.","O coronel Bris Dekker se aposentou com honras completas há uma década. Ele serviu como oficial federal da Marinha como parte de um esquadrão de Elite Recon e tem uma afinidade quase natural pela tecnologia de mudança de quadro. Embora ele esteja aposentado, a Marinha o chama para avaliar quaisquer alterações ou atualizações. Sua instalação foi recentemente atualizada para apoiar os cursos de treinamento que ele oferece, bem como seus workshops regulares. Desenvolva seu relacionamento com ele para descobrir outro engenheiro.","Полковник Брис Деккер вышел на пенсию с полными наградами десять лет назад. Он служил офицером федерального военно -морского флота в рамках элитной эскадрильи Recon и имеет почти естественную близость к технологии смены кадров. Несмотря на то, что он на пенсии, военно -морской флот призывает его оценить любые изменения или обновления. Его объект недавно был значительно обновлен, чтобы поддержать учебные курсы, которые он предоставляет, а также его обычные семинары. Развивайте свои отношения с ним, чтобы открыть для себя другого инженера."
blueprint.horizons.description.engineer_c1b,"No one knows The Sarge''s real name and he won''t reveal it, even to close friends. He''s an ex-Federal Navy specialist who worked closely with the now defunct Colonial Drones Corporation, and later with the drone division of Core Dynamics, in tweaking drone controllers and long range patrol support systems. His reputation is such that he''s attracted followers who learn from him and have built up a range of facilities around his initially modest operations.","No one knows The Sarge''s real name and he won''t reveal it, even to close friends. He''s an ex-Federal Navy specialist who worked closely with the now defunct Colonial Drones Corporation, and later with the drone division of Core Dynamics, in tweaking drone controllers and long range patrol support systems. His reputation is such that he''s attracted followers who learn from him and have built up a range of facilities around his initially modest operations.","Niemand kennt den richtigen Namen des Sarges und er wird ihn nicht enthüllen, auch um Freunde zu schließen. Er ist ein Ex-Federal Navy Specialist, der eng mit der inzwischen nicht mehr existierenden Colonial Drohnen Corporation zusammengearbeitet hat, und später mit der Drohnenabteilung der Kerndynamik, bei der Substanzsysteme von Drohnen und Langstrecken-Patrouillen-Support-Systemen. Sein Ruf ist so, dass er Anhänger angezogen hat, die von ihm lernen und eine Reihe von Einrichtungen um seine anfangs bescheidenen Operationen aufgebaut haben.","Nadie conoce el nombre real del sarge y no lo revelará, incluso a amigos cercanos. Es un ex especialista en la Marina Federal que trabajó estrechamente con la ahora desaparecida Corporación de Drones Coloniales, y luego con la División de Drones de Core Dynamics, en ajustar controladores de drones y sistemas de apoyo de patrulla de largo alcance. Su reputación es tal que ha atraído a seguidores que aprenden de él y han creado una variedad de instalaciones en torno a sus operaciones inicialmente modestas.","Personne ne connaît le vrai nom du Sarge et il ne le révélera pas, même aux amis proches. Il est un ancien spécialiste de la marine fédérale qui a travaillé en étroite collaboration avec la Colonial Drones Corporation, désormais disparue, et plus tard avec la Division de Drone de Core Dynamics, pour modifier les contrôleurs de drones et les systèmes de soutien de patrouille à longue portée. Sa réputation est telle qu''il a attiré des adeptes qui apprennent de lui et ont construit une gamme d''installations autour de ses opérations initialement modestes.","Ninguém conhece o nome verdadeiro do Sarge e ele não o revelará, mesmo para os amigos íntimos. Ele é um ex-especialista da Marinha Federal que trabalhou em estreita colaboração com a agora extinta Corporação Colonial Drones e, posteriormente, com a divisão de drones da Dinâmica Core, em controladores de drones de ajuste e sistemas de suporte de patrulha de longo alcance. Sua reputação é tal que ele atraiu seguidores que aprendem com ele e construíram uma série de instalações em torno de suas operações inicialmente modestas.","Никто не знает настоящего имени Сарга, и он не откроет его, даже близким друзьям. Он бывший специалист по федеральному военно-морскому флоту, который тесно сотрудничал с ныне несуществующей корпорацией колониальных дронов, а затем с подразделением Drone of Core Dynamics, в настройке контроллеров беспилотных летательных аппаратов и систем поддержки патрулирования дальних патрулей. Его репутация такова, что он привлекал последователей, которые учится у него и создали ряд объектов вокруг своих изначально скромных операций."
blueprint.horizons.description.engineer_c,"Felicity Farseer is a legendary explorer, who engineered her own improvements to her Asp Explorer early in her career. She is willing to share some of that knowledge with fellow explorers and also operates an extensive training programme for technicians and mechanics heading out into the black. She based herself here at her father''s mining and refinery facility, though in fact her operation is separate. Develop your relationship with her to learn about another engineer.","Felicity Farseer is a legendary explorer, who engineered her own improvements to her Asp Explorer early in her career. She is willing to share some of that knowledge with fellow explorers and also operates an extensive training programme for technicians and mechanics heading out into the black. She based herself here at her father''s mining and refinery facility, though in fact her operation is separate. Develop your relationship with her to learn about another engineer.","Felicity Farseer ist ein legendärer Entdecker, der ihre eigenen Verbesserungen an ihrem ASP -Entdecker zu Beginn ihrer Karriere entwickelt hat. Sie ist bereit, ein Teil dieses Wissens mit anderen Entdeckern zu teilen, und betreibt auch ein umfangreiches Schulungsprogramm für Techniker und Mechaniker, die in die Schwarze gehen. Sie stützte sich hier in der Bergbau- und Raffinerieeinrichtung ihres Vaters, obwohl ihre Operation tatsächlich getrennt ist. Entwickeln Sie Ihre Beziehung zu ihr, um etwas über einen anderen Ingenieur zu lernen.","Felicity Farseer es una legendaria exploradora, que diseñó sus propias mejoras con su explorador ASP al principio de su carrera. Está dispuesta a compartir parte de ese conocimiento con otros exploradores y también opera un extenso programa de capacitación para técnicos y mecánicos que se dirigen al negro. Se basó aquí en la instalación de minería y refinería de su padre, aunque de hecho su operación está separada. Desarrolle su relación con ella para aprender sobre otro ingeniero.","Felicity Farseer est une exploratrice légendaire, qui a conçu ses propres améliorations à son explorateur ASP au début de sa carrière. Elle est prête à partager certaines de ces connaissances avec ses collègues explorateurs et exploite également un vaste programme de formation pour les techniciens et les mécaniciens se dirigeant vers le noir. Elle a basé elle-même ici dans l''installation d''exploitation minière et de raffinerie de son père, bien que son opération soit séparée. Développez votre relation avec elle pour en savoir plus sur un autre ingénieur.","Felicity Farseer é uma exploradora lendária, que projetou suas próprias melhorias em seu ASP Explorer no início de sua carreira. Ela está disposta a compartilhar parte desse conhecimento com colegas exploradores e também opera um extenso programa de treinamento para técnicos e mecânicos saindo para o preto. Ela se baseou aqui nas instalações de mineração e refinaria de seu pai, embora de fato sua operação seja separada. Desenvolva seu relacionamento com ela para aprender sobre outro engenheiro.","Фелисити Фарсир - легендарная исследователь, которая в начале своей карьеры спроектировала свои собственные улучшения для своего исследователя ASP. Она готова поделиться некоторыми из этих знаний с коллегами -исследователями, а также управляет обширной программой обучения для техников и механиков, направляющихся в черный. Она основывалась здесь на заводе своего отца по добыче и нефтеперерабатыванию, хотя на самом деле ее операция отделена. Развивайте свои отношения с ней, чтобы узнать о другом инженере."
blueprint.horizons.description.engineer_d1,"Petra Olmanova was a specialist combat technician who was believed killed in an explosion at Consolidated Plasma Corp''s primary research facility. However, she survived the disaster relatively unscathed and resurfaced some time later as a freelancer. Her base has since become a sanctuary, and she spurns social interaction unless business is involved.","Petra Olmanova was a specialist combat technician who was believed killed in an explosion at Consolidated Plasma Corp''s primary research facility. However, she survived the disaster relatively unscathed and resurfaced some time later as a freelancer. Her base has since become a sanctuary, and she spurns social interaction unless business is involved.","Petra Olmanova war ein Fachkämpftechniker, der angenommen wurde, dass er bei einer Explosion in der primären Forschungseinrichtung von Consolidated Plasma Corp getötet wurde. Sie überlebte jedoch die Katastrophe relativ unversehrt und tauchte einige Zeit später als Freiberufler wieder auf. Ihre Basis ist seitdem ein Zufluchtsort geworden, und sie verschmäht die soziale Interaktion, es sei denn, das Geschäft ist beteiligt.","Petra Olmanova era un técnico especializado en combate que se creía asesinado en una explosión en el centro de investigación principal de Plasma Corp consolidado. Sin embargo, sobrevivió al desastre relativamente indemne y resurgió algún tiempo después como un profesional independiente. Desde entonces, su base se ha convertido en un santuario, y ella rechaza la interacción social a menos que los negocios estén involucrados.","Petra Olmanova était un technicien de combat spécialisé qui avait été tué dans une explosion dans le principal centre de recherche de Consolidated Plasma Corp. Cependant, elle a survécu à la catastrophe relativement indemne et a refait surface quelque temps plus tard en tant que pigiste. Sa base est depuis devenue un sanctuaire, et elle rejette l''interaction sociale à moins que les affaires ne soient impliquées.","Petra Olmanova era um técnico de combate especializado que se acreditava morto em uma explosão no centro de pesquisa principal da Consolidated Plasma Corp. No entanto, ela sobreviveu ao desastre relativamente incólume e ressurgiu algum tempo depois como freelancer. Desde então, sua base se tornou um santuário e ela rejeita a interação social, a menos que os negócios estejam envolvidos.","Петра Олмарова была специализированным боевым техником, который, как считается, убили в результате взрыва в основном исследовательском центре Consolidated Plasma Corp. Тем не менее, она пережила катастрофу относительно невредившей и всплыла через некоторое время в качестве фрилансера. С тех пор ее база стала убежищем, и она отвергает социальное взаимодействие, если не участвует бизнес."
blueprint.horizons.description.engineer_d2,"A former miner, Selene has a talent for improving a ship''s hull defence, although she only offers her services to fellow prospectors. She''s rumoured to be the daughter of a rock hermit, but she rarely talks about her childhood. As almost a counterpoint to her secluded upbringing she has gathered a robust and trusted team, mostly fellow ex-prospectors, who work alongside her. Her eccentricity extends to her diet, growing a wide range of exotic vegetables to eat, in a wonderfully natural setting. Develop your relationship with her to discover another engineer.","A former miner, Selene has a talent for improving a ship''s hull defence, although she only offers her services to fellow prospectors. She''s rumoured to be the daughter of a rock hermit, but she rarely talks about her childhood. As almost a counterpoint to her secluded upbringing she has gathered a robust and trusted team, mostly fellow ex-prospectors, who work alongside her. Her eccentricity extends to her diet, growing a wide range of exotic vegetables to eat, in a wonderfully natural setting. Develop your relationship with her to discover another engineer.","Als ehemalige Bergmannin hat Selene ein Talent für die Verbesserung der Verteidigung eines Schiffsrumpfs, obwohl sie nur ihre Dienste für andere Prospektoren anbietet. Sie soll die Tochter eines Rock -Einsiedlers sein, aber sie spricht selten über ihre Kindheit. Als fast ein Kontrapunkt zu ihrer abgelegenen Erziehung hat sie ein robustes und vertrauenswürdiges Team gesammelt, hauptsächlich mit Ex-Prospektoren, die neben ihr arbeiten. Ihre Exzentrizität erstreckt sich auf ihre Ernährung und wächst eine breite Palette von exotischen Gemüse zum Essen in einer wunderbar natürlichen Umgebung. Entwickeln Sie Ihre Beziehung zu ihr, um einen anderen Ingenieur zu entdecken.","Una ex minera, Selene tiene un talento para mejorar la defensa de casco de un barco, aunque solo ofrece sus servicios a otros buscadores. Se rumorea que es hija de un ermitaño de rock, pero rara vez habla de su infancia. Como casi un contrapunto a su educación aislada, ha reunido un equipo robusto y confiable, en su mayoría compañeros de los prospectores, que trabajan junto a ella. Su excentricidad se extiende a su dieta, cultivando una amplia gama de verduras exóticas para comer, en un entorno maravillosamente natural. Desarrolle su relación con ella para descubrir a otro ingeniero.","Ancien mineur, Selene a un talent pour améliorer la défense de la coque d''un navire, bien qu''elle n''offre que ses services aux collègues prospecteurs. Selon les rumeurs, elle est la fille d''un ermite rock, mais elle parle rarement de son enfance. Comme presque un contrepoint à son éducation isolée, elle a rassemblé une équipe robuste et de confiance, principalement des collègues propostateurs, qui travaillent à côté d''elle. Son excentricité s''étend à son alimentation, cultivant un large éventail de légumes exotiques à manger, dans un cadre merveilleusement naturel. Développez votre relation avec elle pour découvrir un autre ingénieur.","Uma ex -mineira, Selene tem talento para melhorar a defesa do casco de um navio, embora ela apenas ofereça seus serviços aos colegas garimpeiros. Há rumores de que ela é filha de um eremita de rock, mas raramente fala sobre sua infância. Como quase um contraponto à sua educação isolada, ela reuniu uma equipe robusta e confiável, principalmente colegas ex-prestadores, que trabalham ao lado dela. Sua excentricidade se estende à sua dieta, cultivando uma ampla gama de vegetais exóticos para comer, em um ambiente maravilhosamente natural. Desenvolva seu relacionamento com ela para descobrir outro engenheiro.","Бывший шахтер, Селена обладает талантом для улучшения защиты корпуса корабля, хотя она предлагает свои услуги только коллегам. Ходят слухи, что она станет дочерью рок -отшельника, но редко рассказывает о своем детстве. Как почти контрапункт к ее уединенному воспитанию, она собрала надежную и надежную команду, в основном бывшие бывшие-специалисты, которые работают вместе с ней. Ее эксцентриситет распространяется на ее диету, выращивая широкий спектр экзотических овощей, в чудесно естественной обстановке. Развивайте свои отношения с ней, чтобы открыть для себя другого инженера."
blueprint.horizons.description.engineer_d2a,"Didi''s father died several decades ago as a result of a shield-booster malfunction. Since then, Didi has dedicated her life to making shield boosters safer. In recent years her success has been such that she now lives in luxury and has a team of dedicated mechanics helping to implement her designs. Developing a relationship with her will introduce you to another engineer.","Didi''s father died several decades ago as a result of a shield-booster malfunction. Since then, Didi has dedicated her life to making shield boosters safer. In recent years her success has been such that she now lives in luxury and has a team of dedicated mechanics helping to implement her designs. Developing a relationship with her will introduce you to another engineer.","Didis Vater starb vor einigen Jahrzehnten an den Folgen einer Schild-Booster-Fehlfunktion. Seitdem hat Didi ihr Leben dafür gewidmet, dass Schild Boosters sicherer ist. In den letzten Jahren war ihr Erfolg so, dass sie jetzt in Luxus lebt und ein Team engagierter Mechaniker hat, um ihre Designs umzusetzen. Die Entwicklung einer Beziehung mit ihr wird Sie in einen anderen Ingenieur vorstellen.","El padre de Didi murió hace varias décadas como resultado de un mal funcionamiento del booster de escudo. Desde entonces, Didi ha dedicado su vida a hacer que los refuerzos de escudo sean más seguros. En los últimos años, su éxito ha sido tal que ahora vive en el lujo y tiene un equipo de mecánica dedicada que ayuda a implementar sus diseños. Desarrollar una relación con ella te presentará a otro ingeniero.","Le père de Didi est décédé il y a plusieurs décennies à la suite d''un dysfonctionnement du bouclier. Depuis lors, Didi a consacré sa vie à rendre les boosters de bouclier plus sûrs. Ces dernières années, son succès a été tel qu''elle vit maintenant dans le luxe et a une équipe de mécanismes dédiés qui aident à mettre en œuvre ses créations. Développer une relation avec elle vous présentera un autre ingénieur.","O pai de Didi morreu há várias décadas, como resultado de um mau funcionamento do refúgio de escudo. Desde então, Didi dedicou sua vida a tornar os impulsionadores de escudo mais seguros. Nos últimos anos, seu sucesso foi tal que ela agora vive em luxo e tem uma equipe de mecânicos dedicados, ajudando a implementar seus projetos. Desenvolver um relacionamento com ela o apresentará a outro engenheiro.","Отец Диди умер несколько десятилетий назад в результате неисправности щита. С тех пор Диди посвятила свою жизнь тому, чтобы сделать усилители щита более безопасными. В последние годы ее успех был таким, что она сейчас живет в роскоши и имеет команду специальных механиков, помогающих реализовать ее дизайн. Развитие отношений с ней познакомит вас с другим инженером."
blueprint.horizons.description.engineer_d2b,"Bill Turner claims to be the son of the famous but elusive late Mic Turner, and despite his young age he''s reputed to be a wizard with utilities and plasma accelerators.","Bill Turner claims to be the son of the famous but elusive late Mic Turner, and despite his young age he''s reputed to be a wizard with utilities and plasma accelerators.","Bill Turner behauptet, der Sohn des berühmten, aber schwer fassbaren späten Mikrofon -Turner zu sein, und trotz seines jungen Alters wird er als Zauberer mit Versorgungsunternehmen und Plasma -Beschleunigern angeboten.","Bill Turner afirma ser el hijo del famoso pero esquivo Turn Mic Turner, y a pesar de su corta edad, tiene fama de ser un mago con servicios públicos y aceleradores de plasma.","Bill Turner prétend être le fils du célèbre mais insaisissable de Mic Turner, et malgré son jeune âge, il est réputé être un sorcier avec des services publics et des accélérateurs de plasma.","Bill Turner afirma ser filho do famoso, mas ilusório, Turner, e, apesar de tenra idade, ele tem a reputação de ser um mago com serviços públicos e aceleradores de plasma.","Билл Тернер утверждает, что является сыном знаменитого, но неуловимых поздних микрофонов, и, несмотря на его молодой возраст, он считается волшебником с коммунальными предприятиями и ускорителями плазмы."
blueprint.horizons.description.engineer_d,"Tod McQuinn earned his nickname from a successful season in the CQC Arena. Since then he''s garnered further fame as a bounty hunter, flying a Fer-de-Lance with seriously overpowered multi-cannons. He''s always happy to help fellow bounty hunters. For his current venture he''s teamed up with some of his old CQC friends to form a a custom modification enterprise. Develop your relationship with him to learn about another Engineer.","Tod McQuinn earned his nickname from a successful season in the CQC Arena. Since then he''s garnered further fame as a bounty hunter, flying a Fer-de-Lance with seriously overpowered multi-cannons. He''s always happy to help fellow bounty hunters. For his current venture he''s teamed up with some of his old CQC friends to form a a custom modification enterprise. Develop your relationship with him to learn about another Engineer.","Tod McQuinn verdiente seinen Spitznamen aus einer erfolgreichen Saison in der CQC Arena. Seitdem wird er als Kopfgeldjäger weiter berühmt und fliegt mit ernsthaft überwältigten Multi-Kanonen. Er ist immer glücklich, Mitfedernjägern zu helfen. Für sein aktuelles Unternehmen hat er sich mit einigen seiner alten CQC -Freunde zusammengetan, um ein benutzerdefiniertes Modifikationsunternehmen zu bilden. Entwickeln Sie Ihre Beziehung zu ihm, um etwas über einen anderen Ingenieur zu lernen.","Tod McQuinn obtuvo su apodo de una temporada exitosa en el CQC Arena. Desde entonces, ha obtenido más fama como cazarrecompensas, volando un fer-de-lanza con múltiples canales graves. Siempre está feliz de ayudar a sus compañeros cazadores de recompensas. Para su empresa actual, se ha asociado con algunos de sus viejos amigos de CQC para formar una empresa de modificación personalizada. Desarrolle su relación con él para aprender sobre otro ingeniero.","Tod McQuinn a obtenu son surnom d''une saison réussie dans l''arène CQC. Depuis lors, il a recueilli une plus grande renommée en tant que chasseur de primes, pilotant un fer-de-lance avec des multi-cannons sérieusement maîtrisés. Il est toujours heureux d''aider les collègues chasseurs de primes. Pour son entreprise actuelle, il s''est associé à certains de ses anciens amis CQC pour former une entreprise de modification personnalisée. Développez votre relation avec lui pour en savoir plus sur un autre ingénieur.","Tod McQuinn ganhou seu apelido de uma temporada de sucesso na Arena CQC. Desde então, ele ganhou mais fama como um caçador de recompensas, pilotando um Fer-de-Lance com vários canões seriamente dominados. Ele está sempre feliz em ajudar colegas caçadores de recompensas. Para seu empreendimento atual, ele se uniu a alguns de seus velhos amigos do CQC para formar uma empresa de modificação personalizada. Desenvolva seu relacionamento com ele para aprender sobre outro engenheiro.","Тод МакКуинн заработал свое прозвище в успешном сезоне на CQC Arena. С тех пор он получил дополнительную славу в качестве охотника за головами, летая в сфере фер-дэ со серьезно одолевшими многопользоми. Он всегда рад помочь коллегам -охотникам. Для своего нынешнего предприятия он объединился с некоторыми из своих старых друзей CQC, чтобы сформировать индивидуальное модификационное предприятие. Развивайте свои отношения с ним, чтобы узнать о другом инженере."
blueprint.horizons.description.engineer_e1,"Etienne Dorn used to be the lead shield engineer for Kraken Shield Specialists, but these days he’s mostly self employed. He still shares his developments with his former employers, but he usually offers products to private clients first...for the right price. His burgeoning success has led him to develop state-of-the-art facilities, but he prefers to work with robots to maintain his seclusion.","Etienne Dorn used to be the lead shield engineer for Kraken Shield Specialists, but these days he’s mostly self employed. He still shares his developments with his former employers, but he usually offers products to private clients first...for the right price. His burgeoning success has led him to develop state-of-the-art facilities, but he prefers to work with robots to maintain his seclusion.","Etienne Dorn war früher der Hauptschild -Ingenieur für Kraken Shield -Spezialisten, aber heutzutage ist er größtenteils selbst beschäftigt. Er teilt seine Entwicklungen immer noch mit seinen ehemaligen Arbeitgebern, bietet aber zuerst Privatkunden Produkte an ... zum richtigen Preis. Sein aufstrebender Erfolg hat ihn dazu gebracht, hochmoderne Einrichtungen zu entwickeln, aber er arbeitet lieber mit Robotern zusammen, um seine Abgeschiedenheit aufrechtzuerhalten.","Etienne Dorn solía ser el ingeniero de escudo principal para los especialistas en Kraken Shield, pero en estos días se emplea principalmente. Todavía comparte sus desarrollos con sus antiguos empleadores, pero generalmente ofrece productos a clientes privados primero ... por el precio correcto. Su floreciente éxito lo ha llevado a desarrollar instalaciones de vanguardia, pero prefiere trabajar con robots para mantener su reclusión.","Etienne Dorn était le principal ingénieur du bouclier pour les spécialistes du bouclier Kraken, mais ces jours-ci, il est principalement personnel. Il partage toujours ses développements avec ses anciens employeurs, mais il offre généralement des produits aux clients privés d''abord ... pour le bon prix. Son succès en plein essor l''a amené à développer des installations de pointe, mais il préfère travailler avec des robots pour maintenir son isolement.","Etienne Dorn costumava ser o engenheiro de escudo principal dos especialistas em Kraken Shield, mas hoje em dia ele se trabalha principalmente. Ele ainda compartilha seus desenvolvimentos com seus ex -empregadores, mas geralmente oferece produtos a clientes particulares primeiro ... pelo preço certo. Seu sucesso crescente o levou a desenvolver instalações de última geração, mas ele prefere trabalhar com robôs para manter sua reclusão.","Этьен Дорн раньше был инженером ведущего щита для специалистов по щиту Kraken, но в наши дни он в основном работает самостоятельно. Он по -прежнему делится своими событиями со своими бывшими работодателями, но обычно он в первую очередь предлагает продукты частным клиентам ... по правильной цене. Его растущий успех привел его к разработке современных объектов, но он предпочитает работать с роботами, чтобы сохранить его уединение."
blueprint.horizons.description.engineer_e2,"Hera Tani''s talent with power-management systems was evident from an early age. She grew up with the Jet Rats gang, keeping in close communication with them at all times, but she will also help those who are friendly with the gang. In turn they have responded to her talents by assigning anyone with sufficient technical ability to work and learn from her. Since their demise she has found favour with a mysterious imperial benefactor. She can put you in contact with another engineer if you develop your relationship with her.","Hera Tani''s talent with power-management systems was evident from an early age. She grew up with the Jet Rats gang, keeping in close communication with them at all times, but she will also help those who are friendly with the gang. In turn they have responded to her talents by assigning anyone with sufficient technical ability to work and learn from her. Since their demise she has found favour with a mysterious imperial benefactor. She can put you in contact with another engineer if you develop your relationship with her.","Hera Tanis Talent mit Power-Management-Systemen war schon in jungen Jahren offensichtlich. Sie wuchs mit der Jet Rats -Bande auf und hielt immer mit ihnen in enger Kommunikation, wird aber auch denen helfen, die mit der Bande befreundet sind. Im Gegenzug haben sie auf ihre Talente reagiert, indem sie jedem mit ausreichender technischer Fähigkeit zu verweisen, von ihr zu arbeiten und zu lernen. Seit ihrem Tod hat sie mit einem mysteriösen kaiserlichen Wohltäter Gunst gefunden. Sie kann Sie mit einem anderen Ingenieur in Kontakt bringen, wenn Sie Ihre Beziehung zu ihr entwickeln.","El talento de Hera Tani con los sistemas de gestión de poder fue evidente desde una edad temprana. Ella creció con la pandilla Jet Rats, manteniéndose en estrecha comunicación con ellos en todo momento, pero también ayudará a aquellos que son amigables con la pandilla. A su vez, han respondido a sus talentos asignando a cualquier persona suficiente capacidad técnica para trabajar y aprender de ella. Desde su desaparición, ella ha encontrado el favor de un misterioso benefactor imperial. Ella puede ponerlo en contacto con otro ingeniero si desarrolla su relación con ella.","Le talent d''Hera Tani avec les systèmes de gestion du pouvoir était évident dès son plus jeune âge. Elle a grandi avec le gang de Jet Rats, en gardant une communication étroite avec eux à tout moment, mais elle aidera également ceux qui sont amicaux avec le gang. À leur tour, ils ont répondu à ses talents en assignant à quiconque une capacité technique suffisante à travailler et à apprendre d''elle. Depuis leur disparition, elle a trouvé la faveur avec un mystérieux bienfaiteur impérial. Elle peut vous mettre en contact avec un autre ingénieur si vous développez votre relation avec elle.","O talento de Hera Tani com sistemas de gerenciamento de poder ficou evidente desde tenra idade. Ela cresceu com a gangue Jet Rats, mantendo -se em estreita comunicação com eles o tempo todo, mas também ajudará aqueles que são amigáveis com a gangue. Por sua vez, eles responderam aos seus talentos, atribuindo a qualquer pessoa com capacidade técnica suficiente para trabalhar e aprender com ela. Desde a morte, ela encontrou favor com um misterioso benfeitor imperial. Ela pode colocá -lo em contato com outro engenheiro se você desenvolver seu relacionamento com ela.","Талант Геры Тани с системами управления властью был очевиден с раннего возраста. Она выросла с бандой Jet Rats, постоянно поддерживая с ними общение, но она также поможет тем, кто дружит с бандой. В свою очередь они отреагировали на ее таланты, назначив любому, кто обладает достаточной технической способностью работать и учиться у нее. С момента их кончины она нашла благосклонность с таинственным имперским благотворителем. Она может связать вас с другим инженером, если вы развиваете свои отношения с ней."
