system,body,distance,material,x,y,z
Graea Hypue KQ-X d1-20,1 a,2578.929133,ruthenium,-205.53125,-816.0625,13241.0625
Col 132 Sector VF-N d7-64,6 e,2655.103043,ruthenium,1145.78125,-50.96875,-425.90625
Graea Hypue PT-Q d5-190,6 a,1409.704339,ruthenium,-877.90625,-677.8125,13506.21875
Wregoe YD-T d3-10,3 a a,2269.976317,ruthenium,737,75.4375,-711
Synuefe XA-U d4-13,7 c,567.637138,ruthenium,547.15625,-44,-601.09375
Praea Euq WL-P c5-5,3 a,176.031973,ruthenium,910.375,5.96875,458.0625
Synuefe GI-H d11-65,1 a,2792.347785,ruthenium,781.0625,-185.71875,-102.5
Col 173 Sector XK-O d6-9,2 a,2291.518947,ruthenium,1116.15625,-415.0625,-122.65625
Synuefe LN-R d5-4,ABC 3 b,3513.132057,ruthenium,723.84375,-393.46875,-508.28125
HIP 52380,3 b,2107.787781,ruthenium,1393.625,-56.84375,461.65625
HD 47600,A 8 b,1932.258224,ruthenium,1004.75,-369.3125,-416
Graea Hypue QI-B e146,1 a,1006.644715,ruthenium,-597.1875,-147.46875,13150.78125
Col 135 Sector VP-O c6-17,ABC 4 a,2378.086256,ruthenium,933.0625,-151.75,-225.125
Eorl Auwsy VT-Z d13-1317,A 3 a,4140.217199,ruthenium,5035.625,126.65625,20669.65625
Graea Hypue RK-N d7-318,10 a,1895.134512,ruthenium,-1210,-635.28125,13673.46875
Col 132 Sector FC-U d3-48,2 a,866.83252,ruthenium,997.6875,-159.28125,-790.5625
Col 132 Sector CL-O d6-13,3 a,2032.9591,ruthenium,1602.59375,-276.375,-542.09375
Graea Hypue FW-W d1-68,2 a,2102.253448,ruthenium,-1196.375,-1140.5625,13192.59375
Eorl Auwsy SY-Z d13-3195,4 c,1931.395392,ruthenium,4913.8125,212.59375,20643.59375
Synuefe QT-P d6-1,BC 2 b,33116.65233,ruthenium,759.625,-422.25,-480.96875
Nuekau WO-P d6-2,2 a,1664.510292,ruthenium,-1503.46875,-464.84375,13644.4375
Flyua Dryoae ME-P d6-7,2 c,3433.119195,ruthenium,1247.71875,-645.3125,-475.59375
Synuefe HC-S d5-63,2 a,1582.115996,ruthenium,845.875,-164.28125,-565.78125
Eorl Auwsy QN-B d13-1067,2 a,1265.67044,ruthenium,4958.25,116.84375,20596.53125
Wregoe EV-I b50-0,1 b,198.030176,ruthenium,375.1875,-24.28125,17.125
IC 2391 Sector IR-W d1-47,2 a,489.818442,ruthenium,578.90625,-78.03125,100.65625
HIP 33076,11 c,2087.631639,ruthenium,545.6875,-49.75,-603.84375
Col 132 Sector ID-Q c6-8,3 b,839.870255,ruthenium,1139.75,-135.09375,-858.34375
Swoilz YU-V d3-10,A 3 a,1068.741671,ruthenium,916.125,-49.875,564.90625
Graea Hypue EY-P d6-480,AB 1 a,3429.979333,ruthenium,-1330.09375,-330.25,13616.65625
IC 2602 Sector GW-W d1-95,1 f,825.262692,ruthenium,540.0625,-32.84375,201.78125
Wregoe OF-H c10-0,5 a,899.077142,ruthenium,1071.84375,134.125,-615.53125
Shrogaae TU-A c99,AB 1 c,2114.309382,ruthenium,4893.96875,135.25,20707.96875
Graea Hypue WM-T c4-18,1 a,1219.697913,ruthenium,-274.6875,-786.1875,13227.3125
Eorl Auwsy VT-Z d13-1935,3 a,2690.338771,ruthenium,5032.59375,97.375,20671.625
HIP 57293,A 6 e a,2222.897199,ruthenium,748.65625,86.1875,332.34375
Graea Hypue PO-N b9-5,4,45.738366,ruthenium,-232.1875,-761.03125,13233.75
Graea Hypue AA-Q d5-26,1 c a,1905.49634,ruthenium,-686.6875,-987.71875,13516.65625
Blaa Hypai OZ-O d6-16,7 b a,1900.688201,ruthenium,1285.5,-731.65625,12309.34375
Wregoe BZ-S d3-82,1 c a,2085.812089,ruthenium,855.4375,5.5,-725.65625
Eorl Auwsy TY-Z d13-177,6 e a,1585.471536,ruthenium,4979.0625,200.90625,20620.65625
Col 132 Sector VF-N d7-64,6 c a,2649.806757,ruthenium,1145.78125,-50.96875,-425.90625
Plio Eurl AQ-P d5-2,ABCD 10 b a,2485.211894,ruthenium,1597.125,111.21875,-506.46875
Mu Pictoris,3 a a,2348.027837,ruthenium,683.6875,-323.625,-22.78125
HIP 27555,5 b a,2144.388415,ruthenium,416.59375,-239.375,-258.15625
Col 132 Sector JN-S d4-58,4 b a,3407.963491,ruthenium,1140.90625,-49.59375,-688.78125
Eorl Auwsy SY-Z d13-3743,1 b a,545.977887,ruthenium,4932.53125,159.65625,20645.25
Synuefe ND-I d10-8,2 d a,2122.141789,ruthenium,849.5,-664.3125,-141.15625
Synuefe RM-L c24-22,4 a,2744.819685,ruthenium,799.65625,-183.34375,-24.65625
Synuefe BH-Q b52-2,5,37.887516,ruthenium,399.4375,-140.84375,58.53125
HIP 39496,5 e a,1742.565778,ruthenium,708.1875,-154,-9.28125
Graea Hypue JN-R d5-25,3 d a,1534.184382,ruthenium,-771.46875,-347.6875,13568.5
Col 173 Sector OO-Q d5-18,6 b a,2060.021276,ruthenium,1020.90625,-213.65625,-209.15625
Wregoe TD-J d9-5,A 4 c a,1876.625937,ruthenium,987.34375,347.90625,-201.78125
Graea Hypue QP-N d7-4,3 c a,1806.613442,ruthenium,-1130.09375,-543.4375,13658.875
Flyua Dryoae KE-F d12-6,5 c a,2265.208677,ruthenium,1737.8125,-388.28125,34.96875
Plio Eurl GZ-X b56-1,4,97.790064,ruthenium,1463.9375,138,163.1875
Col 132 Sector CM-U d3-49,1 e a,959.64532,ruthenium,1098.3125,49.65625,-789.5
Synuefe KE-F d12-38,4 d a,1211.804914,ruthenium,425.71875,-349.5,6.90625
Graea Hypue NY-Q d5-247,3 d a,449.282323,ruthenium,-878.75,-656.65625,13510.78125
Synuefe ZD-G b44-0,2 a,542.172552,ruthenium,559.625,-144.40625,-105.53125
Eorl Auwsy SY-Z d13-3468,ABC 3 e a,3985.555909,ruthenium,4948.46875,165.0625,20654.53125
Col 132 Sector EG-N c7-4,5 a,3449.770014,ruthenium,1378.25,-347.1875,-799.21875
Synuefe JQ-E c28-20,A 7 c,1228.478792,ruthenium,935.875,-136.46875,135.75
Col 173 Sector GH-L d8-0,B 1 a,4002.815046,ruthenium,1486.625,-186.65625,-17.84375
Synuefe JQ-E c28-20,A 7 b,1228.324446,ruthenium,935.875,-136.46875,135.75
Wregoe SF-D c26-21,1 a,830.04552,ruthenium,581.875,134.6875,59.40625
Wregoe FU-Z b55-3,12 a,1729.174048,ruthenium,764.96875,151.875,138.15625
Col 132 Sector JZ-U c17-6,2 a,1542.127224,ruthenium,1337.65625,-134.46875,-377.1875
Synuefe VL-C b46-1,4 a,80.664648,ruthenium,798.25,-160.4375,-84.625
Wregoe FK-I c9-7,4 d,1827.087978,ruthenium,651.59375,-8.9375,-660.6875
Eorl Auwsy WA-X b57-10,1 a,198.301099,ruthenium,4937.21875,227,20669
Eta Carina Sector GB-X c1-11,10 c,1381.16964,ruthenium,8632.96875,-122.3125,2690.75
Synuefe LA-V b49-2,B 1,8536.215508,ruthenium,715.96875,-201.21875,-2.125
Graea Hypue FW-W d1-20,A 2 a,1168.495521,ruthenium,-1231.65625,-1074.78125,13177.5
Col 140 Sector PY-R c4-6,B 11 f,252764.7182,ruthenium,1146,-184.0625,-530.9375
Col 173 Sector SZ-C c14-14,ABC 1 a,1077.948223,ruthenium,1636.09375,42.21875,-86.28125
Col 173 Sector GQ-X b30-3,1 b,757.746816,ruthenium,1214.71875,-285.125,-43.125
Wregoe GC-D d12-111,5 a,1215.317388,ruthenium,465.125,34.875,36.28125
Graea Hypue MT-P c6-1,10 d,1101.837103,ruthenium,-1076.3125,-851.625,13329.78125
Col 132 Sector RG-R c19-9,1 a,705.670815,ruthenium,1288.59375,-164.03125,-296.125
Graea Hypue YA-V b3-0,A 1 b,663.645223,ruthenium,-1261.53125,-1084.125,13100.6875
Col 173 Sector EM-A c15-3,A 1 b,1650.4467,ruthenium,1617.625,-107.375,-45.03125
Eorl Auwsy TY-Z d13-1699,C 2 g a,113501.4798,ruthenium,4988.71875,197.34375,20673.84375
Col 173 Sector SI-I b26-8,A 3 a,49.948757,ruthenium,1203.21875,-103.25,-136.1875
Col 132 Sector IQ-G b13-0,A 3 a,48.886175,ruthenium,1091.4375,-87.4375,-829.375
Synuefe HZ-E b45-8,A 6 a,89.431288,ruthenium,772.46875,-84.90625,-90.9375
Prua Dryoae TR-V b5-1,2 a,73.954351,ruthenium,1400.25,-642.59375,339.09375
Col 132 Sector WQ-L c8-0,2 a,220.589925,ruthenium,980.96875,-308.71875,-750.0625
Synuefe GA-Y c17-13,3 b,238.006844,ruthenium,525.75,-109.9375,-266.96875
Synuefe GA-Y c17-13,3 a,237.556696,ruthenium,525.75,-109.9375,-266.96875
Col 173 Sector KD-G b25-1,1 a,75.790625,ruthenium,1325.3125,-512.375,-148.5
Col 173 Sector YQ-Y a48-3,2 a,20.223755,ruthenium,1084.84375,-41.53125,-183.375
Col 132 Sector FG-V b32-3,1 b,135.567352,ruthenium,1347.59375,-132.90625,-420.1875
IC 2602 Sector ZU-Y d49,5 a a,1733.429397,tellurium,441.5625,5.09375,78.1875
Graea Hypue IY-Q d5-48,4 b a,2670.486307,tellurium,-1289.625,-612.96875,13561.03125
Prua Dryoae IY-Y d1-13,1 c a,936.886222,tellurium,1263.4375,-191.96875,404.6875
Graea Hypue AG-V d3-60,3 d a,549.38747,tellurium,-663.21875,-310.1875,13335.65625
Wregoe QD-K d8-75,AB 1 e a,1009.274306,tellurium,479.25,-2.8125,-321.28125
Wregoe DF-R d4-68,A 7 d a,1484.872828,tellurium,686.5,26.3125,-663.40625
HR 2211,AB 3 d a,5906.576006,tellurium,652.125,-326.1875,-202.5625
Plio Eurl DW-E d11-27,2 c a,1494.080115,tellurium,1806.71875,29.9375,-73.5
Col 132 Sector WO-R d4-19,A 3 a a,1665.55791,tellurium,1388.25,-449.78125,-684.25
Col 132 Sector AH-L d8-19,3 d a,1850.135064,tellurium,1121.03125,-116.90625,-414.3125
Pencil Sector ZZ-Y c16,A 2 d a,1137.9438,tellurium,828.40625,71.75,-101.5625
Graea Hypue SO-P d6-30,1 b a,894.959773,tellurium,-519.28125,-476.3125,13617.59375
Flyua Dryoae CF-I c25-5,AB 1 a,1412.049747,tellurium,1727.625,-492.125,28.21875
Col 173 Sector QJ-Q d5-0,1 d a,408.234275,tellurium,985.90625,-341.6875,-255.3125
Synuefe EN-H d11-28,8 b a,747.197806,tellurium,771.78125,-145,-26.65625
Graea Hypue FS-R d5-218,1 c,547.346383,tellurium,-912.90625,-319.65625,13571.03125
HIP 52573,2 d a,697.029055,tellurium,821.28125,-267.84375,404.0625
Col 173 Sector FR-L d8-1,A 3 d a,1533.001607,tellurium,1737.53125,-34.6875,19.625
Prua Dryoae RU-W d2-15,1 d a,1519.213889,tellurium,1310.3125,-393.8125,492.78125
Praea Euq PG-Y d7,4 a,594.583468,tellurium,836.09375,-19.65625,349.9375
HIP 40929,1 e a,1424.415694,tellurium,442.5,-69.21875,-11.3125
Prai Hypoo QC-C d19,5 a a,1270.06594,tellurium,-9286.4375,-405.78125,7917.9375
HIP 54206,4 b a,2333.80813,tellurium,593.3125,108.90625,171.8125
Blaa Hypai OZ-O d6-35,5 b a,2556.40337,tellurium,1239.8125,-671.4375,12337.65625
Col 173 Sector SE-Q d5-16,3 c a,1590.545954,tellurium,986.03125,-353.34375,-237.46875
Graea Hypue AA-Q d5-119,A 4 a a,1440.304644,tellurium,-637.8125,-1058.65625,13543.09375
HD 65598,4 b,5510.50049,tellurium,1012.125,-172.4375,-134.0625
HR 2685,A 1 e a,1542.02377,tellurium,609.8125,-156.78125,-228.25
Wregoe WU-G d10-18,A 5 c a,1849.628305,tellurium,423.75,66.78125,-155.3125
Wregoe JR-D d12-42,2 b a,839.684378,tellurium,1182.28125,267.875,-21.03125
HIP 39496,5 b a,1755.402773,tellurium,708.1875,-154,-9.28125
HIP 34377,3 a,1238.693626,tellurium,495.75,-142.625,-133.8125
Kappa-1 Volantis,B 3 f a,3343.725939,tellurium,396.90625,-142.5625,106.09375
HIP 45551,3 b,2154.439858,tellurium,765.46875,75.15625,-54.3125
Wregoe NX-L d7-128,4 c a,2811.56279,tellurium,499.28125,27.5,-352.4375
Puekee UA-A c95,5 c a,837.390625,tellurium,-541.6875,-15.34375,13051.03125
Graea Hypue KQ-X d1-81,1 b,1894.858428,tellurium,-195.6875,-801.9375,13225.875
Wregoe BM-L c21-37,1 a,855.331899,tellurium,465.21875,-17.8125,-124.90625
Col 173 Sector ST-R d4-30,A 1 a,1708.390151,tellurium,1161.28125,-437.28125,-267.8125
Col 132 Sector JN-J d9-29,1 d a,1456.52607,tellurium,1465.75,-117.28125,-342.4375
17 Canis Majoris,8 d a,2217.584267,tellurium,392.90625,-69.84375,-308.03125
Synuefe CN-H d11-74,1 b,1139.227473,tellurium,652.5,-132.96875,-95
Prua Phoe TS-B d43,A 5 f a,1699.050706,tellurium,-5549.625,-523.09375,10481.65625
HIP 41361,5 c a,4727.632967,tellurium,548.0625,-3.40625,-116.90625
Prai Hypoo SX-B d45,A 6 a,839.344354,tellurium,-9279.4375,-490.875,7937.78125
Wregoe IH-M d7-58,6 a,4863.581123,tellurium,450.65625,142.15625,-358.4375
Wregoe GB-O d6-12,1 a,2183,tellurium,601.78125,196.46875,-470.65625
Eorl Auwsy SY-Z d13-5746,4 b,2304.312277,tellurium,4958.5625,185.21875,20636.8125
CD-48 3525,3 a,2205.383685,tellurium,1605.59375,-248.71875,-153.53125
Graea Hypue NE-P d6-281,A 11 c,2778.672858,tellurium,-1239.03125,-661.125,13617.5
Col 173 Sector IS-R d5-10,A 2 a,3224.55098,tellurium,1504.4375,243.8125,-253.1875
Synuefe ID-Q d6-24,1 f a,811.335806,tellurium,447.03125,-208.34375,-489.96875
Synuefe KO-F d12-42,A 1 e,871.340482,tellurium,800.65625,-200.5625,-24.90625
Col 132 Sector UZ-O d6-44,A 2 b a,1734.184589,tellurium,1395.25,-57.46875,-529.28125
Eorl Auwsy SY-Z d13-3408,5 a,2500.530657,tellurium,4909.46875,196.28125,20655.96875
Puekee XT-I c9-106,1 a,960.832217,tellurium,-799.25,61.3125,13425.71875
Col 140 Sector BQ-Y d4,2 a,1604.007871,tellurium,1097.46875,-163.15625,-632.25
Col 132 Sector BB-N d7-23,2 e a,1781.035574,tellurium,1500.84375,-114.9375,-485.5625
Synuefe KL-N c23-10,1 a,133.897942,tellurium,758.25,-109.9375,-45.3125
Synuefe WL-J d10-43,8 a,1626.142184,tellurium,649.21875,-95.03125,-167.84375
Eta Carina Sector IR-W d1-10,A 1 d a,951.596116,tellurium,8584.65625,-113,2705.375
Graea Hypue NY-Q d5-111,7 a,1577.306898,tellurium,-898.625,-643.09375,13529.90625
Graea Hypue HT-P d6-575,4 a,849.603351,tellurium,-1236.5625,-410.59375,13623.3125
Eorl Auwsy QD-A d14-5153,1 e a,1151.170749,tellurium,4919.4375,221.5625,20661.84375
Praea Euq NG-Y d23,2 a,2643.646015,tellurium,697.46875,-23.15625,348.71875
Col 173 Sector LY-Q d5-59,8 b a,1171.215281,tellurium,1078.09375,-86.5625,-249.46875
Col 173 Sector HB-O d6-20,2 a,2035.543891,tellurium,1588.40625,-539.46875,-163.9375
Synuefe VO-P d6-5,3 d a,1289.203563,tellurium,979.59375,-439.65625,-503.5
Synuefe EN-H d11-18,A 3 d a,591.80684,tellurium,783.78125,-166.6875,-92.09375
Col 132 Sector JN-J d9-36,7 a a,1638.791013,tellurium,1468.03125,-150.8125,-309.1875
Col 173 Sector MJ-P d6-142,5 b,3111.788192,tellurium,1030.65625,21.3125,-107.25
Graea Hypue JL-X d1-0,A 2 a,997.140411,tellurium,-463.6875,-898.09375,13188.1875
Synuefe HY-F d12-39,9 c a,1204.678096,tellurium,884.5625,-102.78125,-8.21875
Col 173 Sector FW-M d7-25,6 a,1862.787182,tellurium,1560.46875,-304.4375,-27.59375
Wregoe ZZ-F d11-20,AB 5 b a,2038.309422,tellurium,1170.84375,531.71875,-61.3125
HD 53433,8 a a,2581.575419,tellurium,1031.8125,-144.375,-759.28125
Col 132 Sector PT-Q d5-1,1 a,1166.398819,tellurium,1300.84375,-70.1875,-609
HR 3693,4 e a,2828.621569,tellurium,1086.8125,-115,140.5625
Swoilz RV-A b6-1,A 2 a,85.805555,tellurium,637.03125,-88.5,339.46875
Swoilz IF-W c3-1,7 b a,1133.259642,tellurium,1002.25,-598.6875,408.71875
HD 97630,3 a,1378.746398,tellurium,1023.4375,-54.9375,424.59375
Synuefe BN-H d11-6,ABC 4 a a,1018.297665,tellurium,507.71875,-180.9375,-93.15625
Eorl Auwsy SY-Z d13-6157,1 b,1133.142626,tellurium,4911.3125,136.28125,20641.03125
Eorl Auwsy SY-Z d13-5024,6 a,2397.327077,tellurium,4915.9375,137.09375,20664.875
Synuefe YA-U d4-31,A 7 b,2520.491425,tellurium,587.71875,-86.15625,-595.25
Shrogaae TU-A c99,AB 1 b,2114.309317,tellurium,4893.96875,135.25,20707.96875
Col 132 Sector PA-T c18-0,2 c,269.793238,tellurium,1369.125,-153.71875,-320
Swoilz BF-Z e4,9 c,1959.319868,tellurium,1070.96875,-346.28125,401.3125
Graea Hypue JN-R d5-312,BC 7 b,4179.011002,tellurium,-757.21875,-387.75,13560.875
Wregoe NX-L d7-50,A 2 a,744.248107,tellurium,515.03125,13.53125,-404.09375
Col 132 Sector VO-R d4-6,6 b,3458.218432,tellurium,1332.71875,-437.5,-714.78125
Graea Hypue JN-R d5-88,9 b a,2134.84959,tellurium,-737.78125,-409.78125,13541.75
IC 2391 Sector KC-V c2-17,2 a,607.589879,tellurium,561.03125,-91.3125,50.0625
Wregoe FA-Q d5-37,1 a,1176.938575,tellurium,1011.25,290.6875,-549.59375
Graea Hypue RK-N d7-318,12 d,2768.317991,tellurium,-1210,-635.28125,13673.46875
Col 140 Sector DL-Y e15,2 a,3553.804429,tellurium,1161.75,-117.4375,-514.90625
Swoilz RS-B d28,2 c a,3463.275799,tellurium,713.6875,-561.59375,231.53125
Graea Hypue UE-X d2-359,A 7 a a,1595.012347,tellurium,-625.3125,-262.59375,13303.78125
Col 173 Sector VP-W d2-61,1 a,1845.642233,tellurium,1124.8125,66.6875,-450.875
Eorl Auwsy SY-Z d13-3707,4 a,895.558921,tellurium,4944.5625,160.25,20637.6875
Col 173 Sector GY-H d10-23,AB 1 a a,1564.790191,tellurium,1005.8125,-167.75,160.75
Graea Hypue LO-P d6-175,4 e a,1078.685956,tellurium,-1048.34375,-448.5,13630.59375
Wregoe LR-N d6-25,5 a,1067.332028,tellurium,657.28125,33.5,-496.09375
Wregoe IQ-P d5-41,1 a,1746.357837,tellurium,930.3125,111.09375,-566.5
Wregoe TD-R c18-17,2 c,1000.324269,tellurium,805.34375,89.46875,-246.71875
Swoilz OV-V c3-4,2 a,1918.485513,tellurium,1071.0625,-671.28125,389.75
Eorl Auwsy SY-Z d13-3743,4 b,1280.218228,tellurium,4932.53125,159.65625,20645.25
Graea Hypue TJ-Y d1-191,3 a,2394.225216,tellurium,-932.40625,-488.34375,13226.9375
Col 173 Sector NT-P d6-40,3 b,925.988154,tellurium,1447.5,176.71875,-118.3125
Wregoe BS-I c23-8,AB 14 a,2231.92968,tellurium,473.15625,157.4375,-29.03125
Synuefe UC-L c24-14,1 b,1006.713594,tellurium,741.53125,-229.21875,-15.1875
Prua Phoe WN-B d61,3 a,1795.143352,tellurium,-5456.6875,-591.59375,10492.125
Col 173 Sector KX-S d4-89,A 6 b,6067.3754,tellurium,1486.46875,48.40625,-337.375
Col 132 Sector WO-R d4-7,A 1 a,1746.802247,tellurium,1388.90625,-501.59375,-686.28125
Swoilz OI-Z d1-25,2 a,1228.546447,tellurium,801.4375,-46.21875,419.6875
Synuefe QT-P d6-7,1 d,1995.363177,tellurium,790.375,-353.8125,-499.625
Synuefe EN-H d11-104,5 a,2449.924585,tellurium,788.875,-157.84375,-85.34375
Col 173 Sector CQ-Q b20-0,A 4 a,20.91119,tellurium,878.3125,-339.71875,-261.25
Eorl Auwsy SY-Z d13-3419,4 a,1710.07327,tellurium,4922.25,171.03125,20631.125
Swoilz AV-V d3-60,2 c,235.544549,tellurium,1081.5,-57.625,608.25
HIP 35861,ABC 3 a,2841.415321,tellurium,621.40625,-375.84375,384.125
HR 3710,8 a,3351.251572,tellurium,581.40625,114.8125,-90.8125
Puppis Dark Region B Sector BA-A d23,4 b,1096.760529,tellurium,1343.09375,-53.6875,-430.75
Col 132 Sector FT-W c16-4,9 a,2289.964525,tellurium,1336.125,-110.375,-412.375
NGC 2547 Sector HR-W c1-4,3 a,855.342452,tellurium,1379.375,-277.28125,-163.75
Wregoe AC-K c22-6,ABC 1 a,1343.783608,tellurium,451.09375,82.75,-85.3125
HIP 36823,3 e,1321.458028,tellurium,640.4375,-143.90625,-118.3125
Blaa Hypai CZ-D c13-0,8 b,1858.59409,tellurium,1229.28125,-711.4375,12309.15625
Col 132 Sector RI-J c9-2,3 a,1848.706992,tellurium,1431.84375,-435.90625,-728.53125
Synuefe UZ-N d7-30,1 a,1282.621197,tellurium,735.8125,-421.09375,-421.5625
Graea Hypue ZZ-P d5-22,1 b,933.323002,tellurium,-765.53125,-991.5625,13560.9375
Col 132 Sector VO-R d4-18,2 a,1716.163641,tellurium,1354.1875,-449.5625,-714.53125
HR 2981,B 8 c,486031.1806,tellurium,561.65625,-76.9375,-174.0625
Swoilz EA-Y d1-5,5 b,1424.770951,tellurium,911.3125,-601.59375,418
Graea Hypue NE-P d6-232,C 9 d,69706.13599,tellurium,-1249.03125,-592.21875,13619.75
HIP 46054,3 f,1585.380614,tellurium,624.4375,292.375,-248.5625
Graea Hypue HD-R d5-84,3 a,1729.279367,tellurium,-1229.09375,-580.4375,13574.875
Col 132 Sector PD-T e3-2,3 b,855.691278,tellurium,1134,-451.71875,-480.75
Puekee YJ-R d4-873,A 1 b,1434.948958,tellurium,-801.1875,64.90625,13426.53125
Graea Hypue HD-R d5-153,10 a,1026.405457,tellurium,-1227.96875,-569.65625,13498.59375
Eorl Auwsy SY-Z d13-6206,1 a,743.44973,tellurium,4919.15625,210,20641.71875
Graea Hypue FS-R d5-203,A 8 a,2527.433794,tellurium,-925.5625,-272.6875,13543.625
Plio Eurl KI-B d13-74,2 b,628.241606,tellurium,1743.28125,18.28125,92.65625
Wregoe QO-X c28-21,A 5 a,71.348316,tellurium,932.84375,53.46875,214.03125
Synuefe ZW-I d10-42,AB 1 a,1404.015119,tellurium,376.28125,-283.5625,-184.1875
HIP 53274,6 a,643.144127,tellurium,716.15625,-1.46875,244.4375
Col 173 Sector GN-F b29-4,A 1 a,30.901599,tellurium,1239.78125,163.6875,-80.84375
Graea Hypue GS-R d5-494,3 a,1395.862294,tellurium,-804.09375,-325.6875,13533.21875
Col 173 Sector UX-J c9-0,B 5 a,791.584406,tellurium,1699,-379.75,-301.71875
NGC 3532 Sector CV-Y d13,1 a,1259.816595,tellurium,1560.96875,-6.875,390.71875
Synuefe RA-L d9-49,2 b,1128.759148,tellurium,355.09375,-109.5625,-190.15625
Swoilz RM-A c2-5,1 a,177.286735,tellurium,974.59375,-445.9375,302.875
Clookeou MJ-G d11-38,11 a,2283.81438,tellurium,-852.71875,-628.125,12753.1875
Col 173 Sector JX-K b24-0,B 4 a,704.067362,tellurium,993.0625,-188.1875,-173.53125
Wregoe RI-D b41-0,C 1 a,680.239572,tellurium,1004.8125,288,-175.125
Synuefe JT-M b54-0,4 a,33.414619,tellurium,397.84375,-140.84375,100.09375
Synuefe LQ-O b23-0,BC 3 a,779.321763,tellurium,1115,-599.90625,-560.21875
Prua Phoe US-B d3,3 a,758.879115,tellurium,-5485.28125,-567.59375,10508.3125
Synuefe MD-Q d6-41,3 a,3429.994912,tellurium,808.65625,-226.34375,-449.125
Wregoe SO-I d9-54,1 a,1748.091415,tellurium,454.875,109.34375,-259.4375
Col 132 Sector TP-N b20-0,3 a,34.678027,tellurium,1191.375,-622.8125,-673.09375
Col 173 Sector GP-D c13-5,1 a,1089.736341,tellurium,851.5,-196.5,-109.84375
Graea Hypue JN-R d5-82,A 4 a,2337.161523,tellurium,-722.09375,-393.6875,13529.4375
HD 71269,5 c,1542.823345,tellurium,1273.90625,51.15625,-363.9375
Col 173 Sector AA-P d6-98,1 a,824.231578,tellurium,1818.125,-115.46875,-125.46875
Wregoe DF-R d4-22,A 6 g,743.408177,tellurium,702.34375,6.71875,-607.125
Synuefe MN-A d14-11,1 c,879.420043,tellurium,1131.65625,-842.03125,139.5
Col 132 Sector ON-R b34-0,B 2 a,650.114689,tellurium,1315.125,-157.34375,-380.90625
Col 173 Sector AR-U d3-64,3 a,2287.285479,tellurium,1035.1875,42.8125,-388.71875
Col 132 Sector KX-T d3-8,2 a,885.912367,tellurium,1238.1875,-246.40625,-768
Puekee XY-S d3-539,4 a,2240.079693,tellurium,-777.71875,8.28125,13400.125
Praea Euq UX-U d2-38,1 a,1348.893537,tellurium,808.40625,77.15625,511.53125
HD 97630,4 c,1754.881605,tellurium,1023.4375,-54.9375,424.59375
Pro Eurl IM-W d1-138,1 c,854.721811,tellurium,1244.5,-13.5625,400.125
Graea Hypue LJ-P d6-361,3 f,1834.52052,tellurium,-1249.6875,-584.78125,13613.125
Prai Hypoo SX-B d46,5 a,984.404129,tellurium,-9289.0625,-493.4375,7944.0625
Prua Phoe TS-B d56,4 b,796.289385,tellurium,-5524.09375,-584.15625,10519.9375
Col 173 Sector GB-O d6-3,4 a,1129.885289,tellurium,1514.03125,-518.65625,-106.84375
Graea Hypue AA-Z e24,9 b,1970.2984,tellurium,-632.5,-562.09375,13237
Eorl Auwsy SY-Z d13-1985,5 a,2292.067738,tellurium,4916.71875,144.25,20622.625
Col 132 Sector HC-U d3-39,AB 2 a,1913.945834,tellurium,1177.4375,-135.15625,-773.1875
HR 2923,7 a,5338.810149,tellurium,517.71875,-3.5,-324.09375
Wregoe DL-O d6-11,A 5 b,735.265183,tellurium,715.4375,321.96875,-434.5
Col 173 Sector UP-O d6-41,11 b,1932.186391,tellurium,978.8125,-293.125,-125.4375
HIP 36537,2 a,1003.404403,tellurium,704.4375,-225.28125,-2.15625
Swoilz XD-A d1-34,A 1 d,504.641833,tellurium,996.15625,-452.75,370.5625
Col 140 Sector BQ-Y d4,3 a,1614.953926,tellurium,1097.46875,-163.15625,-632.25
Graea Hypue ZK-V d3-20,A 3 b,2265.398149,tellurium,-558.4375,-239.53125,13409.5625
Synuefe SU-M d8-52,6 a,4802.568143,tellurium,784,-131.65625,-341.8125
Wregoe DQ-O d6-3,6 c,1672.44468,tellurium,854,414.65625,-449.15625
Synuefe XD-B c29-2,1 a,932.788879,tellurium,648.59375,-484.75,176.9375
Col 173 Sector FB-O d6-5,2 a,1537.477492,tellurium,1414.0625,-575.875,-140.625
HIP 52293,5 a,4321.132357,tellurium,440.46875,-42.65625,158.1875
Wregoe EL-O d6-20,1 f,1394.865009,tellurium,764.78125,297,-465
Synuefe GI-H d11-50,2 b,1792.726409,tellurium,809.25,-201.34375,-74.75
Synuefe TM-D c28-6,AB 7 b,1954.568803,tellurium,889.03125,-350.21875,152.625
Eorl Auwsy SY-Z d13-2771,2 a,1195.151041,tellurium,4911.3125,207.625,20630.25
Col 173 Sector TJ-P d6-4,2 a,972.697666,tellurium,1602.71875,46.875,-113.75
Graea Hypue PZ-O d6-18,2 a,1253.899243,tellurium,-1210.6875,-685.875,13582.75
Synuefe FM-T d4-32,AB 2 a,2332.393199,tellurium,705.21875,-307.96875,-607.84375
HIP 33076,11 b,2087.637548,tellurium,545.6875,-49.75,-603.84375
Vela Dark Region ZE-A d26,5 a,4457.504286,tellurium,951.40625,-111.96875,-134.59375
