system,body,distance,x,y,z,material
Hypisc CR-D c12-0,B 1 b,24563.11521,11783.71875,105.71875,-8213.46875,polonium
Braiso HM-V c18-1,B 1 d,87954.71776,26947.09375,-302.28125,31766.96875,polonium
Eock Hypue AG-V d3-2,B 1 e,138301.73,15997.03125,-268.09375,-13493.1875,polonium
Oochost XL-J d10-9,BCDE 4 a,109188.4397,-551.96875,-76.3125,-1423.21875,polonium
Aucoll FM-C d0,B 1 a,13211.40917,27227.40625,-251.25,1501.1875,polonium
Hypoe Hypue VG-S d5-2,C 3 a,64511.22608,-1255.71875,-40.0625,-8214.5625,polonium
Auphairsts HH-C d13,BC 2 b,71857.60111,379.28125,-322.65625,50154.90625,polonium
Plaa Theia KO-Z d13-1,BC 2 a,329841.1326,7850.4375,-6.71875,-2421.34375,polonium
Eowrairks YN-B c13-0,B 1 a,73832.28581,-1739.65625,17.28125,59657,polonium
Cyoide DN-A d14-2,B 1 a,332712.6879,1682.65625,-832.53125,-6233.40625,polonium
Phrio Phoea YZ-X d1-24,B 9 b,403564.662,4280.5,-612,-4679.4375,polonium
Preae Thae SZ-X d1-0,B 4 a,531286.4968,5056.6875,625.65625,-2175.9375,polonium
Blu Airg RT-R d4-19,CDE 3 a,358027.8418,-30538.90625,234.3125,14754,polonium
Dryau Aec NG-Y d17,CD 4 d,13240.90439,8336.5625,36.21875,-12472.53125,polonium
Hypao Chraea CH-C d0,E 2 a,54312.61151,-28209.4375,992.625,32219.0625,polonium
Hypheeg KI-Z d1-9,CD 2 a,68036.68071,-11057.1875,-65.25,-4720.375,polonium
Pyrivo GD-I d10-21,B 6 b,80692.40387,-2239.4375,-645.96875,54890.28125,polonium
Phoi Freau TN-S c17-0,C 1 b,119737.467,-36326.28125,-2.0625,26583.90625,polonium
Eishaw IZ-D d13-1,BC 4 a,176432.1251,4259.90625,-111.78125,60219.84375,polonium
Dryeae Aec CC-D d12-9,BC 1 a,374809.6301,23208.59375,10.9375,-11478.375,polonium
Praea Theia PM-U d3-1,B 1 a,20518.19207,8822.625,633.625,-2024.34375,polonium
Dryoi Bloae LJ-F d12-24,B 2 b,301339.475,-31271.65625,-315.8125,29469.15625,polonium
Flyai Pre GS-A d1-60,CD 4 a,38420.59644,-22901.4375,-245.03125,40017.71875,polonium
Blaeg JF-Y c17-0,B 5 b,153659.6426,7097.125,-101.0625,-10544.96875,polonium
Sutchooe NC-B c27-11,BCD 4 a,193338.6272,1130.71875,34.71875,50044.40625,polonium
Bleou Aed SY-S d3-0,B 3 a,62201.40079,30818.90625,-21.75,12063.25,polonium
Preia Blou FY-F d12-1,AB 1,16523.24766,-7014.9375,-31.59375,49896.1875,polonium
Hypiae Aip DA-Q d5-65,BC 5 a,21315.03335,4713.625,271.9375,-5646.65625,polonium
Thuecheae AY-F d12-55,CDE 2 a,43765.5668,-2253.09375,-33.40625,53740.90625,polonium
Spongoae MQ-Y d5,B 1 b,125933.4608,-19530.59375,148.03125,-9925.28125,polonium
Slehiae AL-V c3-0,C 3 a,250213.6724,32337.625,500.53125,9335.59375,polonium
Auphails CR-C d73,CD 10 a,217021.2258,2893.0625,-144.03125,50185.3125,polonium
Prue Groa GJ-F d12-24,BCD 5 b,35534.00663,-21451.34375,-276.59375,52462.03125,polonium
Prai Gruia QT-Q e5-6,BC 6 a,110273.1522,-22121.625,-37.90625,52453.875,polonium
Fedguia WV-U c19-6,C 2 b,30541.34454,17876.78125,-56.5625,-2751.46875,polonium
Pleia Thaa SY-Z d13-12,C 2 b,64807.76607,13879.875,149.46875,-2420.1875,polonium
Hypuae Euq BH-D d12-0,B 3 a,43961.83315,181.0625,104.84375,-15371.5,polonium
Styailn DA-A d18,B 5 b,184403.0021,9161.125,-24.03125,-7455.0625,polonium
Cyoide LE-O d7-8,15 a,65667.31819,1458.59375,-310.40625,-6787.9375,polonium
Whoifa DT-F d12-13,B 2 c,133437.1369,-31648.25,-161.53125,6424.71875,polonium
Plio Chroa TU-N c20-22,CD 2 a,160708.2728,4390.90625,105.71875,48488.4375,polonium
Phua Aihm ID-H d11-1,C 2 a,255126.6926,7141.34375,942.34375,-3930.8125,polonium
Cyoidai BR-K d9-17,B 5 a,41160.29328,817.125,-341.75,-6610.5,polonium
HIP 36601,C 1 a,152971.751,337.8125,562.96875,-1457.84375,polonium
Syroangooe VL-J d10-20,C 6 a,27914.51626,-21215.59375,-72.0625,42126.4375,polonium
Skueqaei VU-X e1-0,D 2 b,445576.7939,15536.15625,-47.28125,58206.8125,polonium
Oochost AH-J d10-1,D 7 f,346661.5446,-490,-160.625,-1432.15625,polonium
Phroea Phio BN-H d11-15,B 10 e,16799.93816,3128.84375,-161.90625,-3869.15625,polonium
Swuenaa PJ-O d7-39,BCD 2 a,18436.01201,698.46875,-198.1875,49508.40625,polonium
Syneayoi PS-S c17-0,B 4,279885.5876,-557.21875,26.4375,61142.375,polonium
Groeb LC-D d12-16,DE 6 b,95399.41307,-11928.96875,6.21875,-10249.625,polonium
Oochorphs IH-C d2,B 2 a,47209.53325,8098.78125,-286.96875,-2269.40625,polonium
Cyoidao HX-A d1-10,C 1 a,63056.40782,9319.5,-123.21875,-7359.8125,polonium
Plio Broae AM-Y c19,B 1 a,234862.066,2179.21875,44.1875,50176.25,polonium
Spliehn CV-G d10-4,D 1 a,53737.63344,17590.03125,108.53125,-12946.25,polonium
Hegai LD-K d8-8,BC 1 b,17739.44701,5197.25,-16.125,-2871.15625,polonium
Pyriveae OY-Q c21-8,D 4,353026.1499,-1083.71875,-136.6875,54920.09375,polonium
Scheau Phio AH-H c12-3,B 7,121444.7048,1974.25,-415.25,-5646.5,polonium
Oochost QU-S c19-0,B 9,25166.87947,-382.625,-504.28125,-1504.875,polonium
Thuecheae WR-H d11-99,BC 4 a,307898.6354,-2263.28125,-101.15625,53691.71875,polonium
Pre Eaeb KP-H c26-0,B 6,217992.7127,35633.1875,-239.625,11610.46875,polonium
Syrue Theia TD-J d9-0,B 10,102964.2504,2257.5,308.09375,63739.125,polonium
Hypisc GA-A d1,B 3 a,223087.5873,11973.75,-7.0625,-8672.84375,polonium
Pyrivo TU-M d8-42,B 7,358360.3196,-1738.1875,-132.625,54747.53125,polonium
Gria Eon ZG-T d4-0,B 7,49885.95025,-33256.5625,-423.8125,3182.25,polonium
Loihoa AY-C c28-3,D 6,152179.8918,-31088.1875,-472.71875,20631.625,polonium
Hegue KG-W d2-1,B 7,413317.7878,4929.8125,659.9375,-3383.3125,polonium
Eock Hypue DM-G c13-0,B 5,91854.78196,16378.46875,-223.75,-13301.96875,polonium
Flyeia Byoea FW-L c24-26,B 2,289034.458,5609.6875,-78.8125,51196.625,polonium
Jongai KF-R c4-0,B 1,104788.8869,21057.78125,7.5,-9824.75,polonium
Auphairsts MA-L d9-21,B 7,81976.63002,-30.59375,-137.09375,50993.75,polonium
Groem GS-J c22-0,BCD 1,40098.40923,15860.09375,-22.875,-10344.6875,polonium
Tyriedgau VF-F c11-0,C 6,237187.2268,29507.96875,90.09375,2014.46875,polonium
Jellyfish Sector IW-W c1-4,C 7,82982.45412,839.21875,223.5625,-4945.875,polonium
Oochorrs OP-A c16-0,B 5,229822.6874,735.46875,-314.53125,-1663.125,polonium
Prai Eorg HD-Z d1-17,B 7,370553.3383,-22959,-181.96875,-2124.03125,polonium
Syritchi IW-E d11-70,C 2 c a,43019.53912,-15693.25,14.53125,54967.1875,polonium
Xothue UO-Z d13-138,B 2 a,229949.1909,-31032.375,-8.40625,30921.9375,polonium
Thuecheae CY-F d12-51,B 1 c a,318349.3272,-2135.8125,-29.15625,53744,polonium
Blia Aob MV-Y d100,B 1 a,47366.85587,-14289.125,293.96875,42549.84375,polonium
Hypau Phlai HS-A d14-5,B 3 c a,22613.09352,-13190.03125,477.0625,-7486.375,polonium
Drootuia ZU-F d11-11,BC 4 a,38974.96346,4820.3125,-898.125,52376.59375,polonium
Eishoqs XZ-P d5-4,11 e a,40498.25791,-27761.90625,215.40625,17407.65625,polonium
Till QT-Y d1-0,B 6 a,151482.0203,17060.53125,-333.75,-12410.4375,polonium
Schadgoea QY-S d3-3,C 9 b,23361.20536,-6425.6875,22.90625,-8366.09375,polonium
Dryu Ail SP-N d7-0,CD 3 a,176436.1261,-13779.125,708.59375,-9372.8125,polonium
Bleae Thoea HX-L d7-0,D 5 a,115307.4405,-34536.90625,-10.71875,2148.78125,polonium
Outotch RT-Z d0,B 3 a,129399.4486,1467.28125,624.875,-2256.59375,polonium
Plae Trua LS-K d8-0,BC 2 g,13093.16675,19697.03125,1507.25,-330.5625,polonium
Jongou RM-W d1-0,B 5 a,116498.6715,26269.0625,-10.09375,-9857.875,polonium
Syneaxeau ZS-U d2-1,BC 4 b,236489.9547,-6631.3125,8.1875,60624.5625,polonium
Hypo Phlue QE-X c15-1,B 9 c,113487.9079,-20046.84375,254.84375,-8062.09375,polonium
M46 Sector MX-T c3-0,B 12 b,62419,3499.25,256.875,-2864.78125,polonium
Cyoidai GH-S d5-32,C 5 c,261617.1574,936.71875,-89.875,-6920.5,polonium
Flyue Flyiae NB-W d2-1,B 3 c,51768.86154,-20587.375,-702.03125,37588.125,polonium
Syriae Thaa OZ-E c25-0,B 5 a,246828.8066,-1966.59375,107.15625,64034.9375,polonium
Syniechau TV-K d9-3,B 3 a,168750.188,-30340.0625,-209.09375,48441.375,polonium
Auphad JK-C d14-2,B 10 b,492563.7141,22121.1875,-80.34375,51380.15625,polonium
Scheau Phoea NL-U c4-7,B 1 b,49603.03575,4885.21875,-590,-5946.125,polonium
Dryi Ain WE-R d4-5,CDE 2 a,257980.7883,-4995.9375,-5.46875,-9611.65625,polonium
Gludgaa IL-N c20-10,BC 3 b,48380.27135,-277.9375,43.90625,-4013.5,polonium
Truechiae ZB-H c25-5,B 5 b,230539.9693,-1665.875,561.625,53814.96875,polonium
Hypua Hypooe ED-X c16-0,C 4 c,47233.4005,-12303.9375,-704.875,-8022.4375,polonium
Plae Broo XL-C d13-5,B 4 a,47654.61704,-23948.6875,501.03125,51320.4375,polonium
Eafoppy XL-H c25-1,B 1 a,244824.719,7348.84375,621.4375,-5101.875,polonium
Hypo Aeb TF-R c4-1,B 3 a,93781.96455,-9265.1875,6.65625,-8523.71875,polonium
Plae Flaae DE-B d11,B 15 a,43507.14444,-23132.6875,511.8125,37357.5,polonium
Pyrivo XA-I c12-4,B 4 a,15259.97379,-1692.71875,-227.28125,54513.4375,polonium
Flyue Drya CE-E d13-4,B 1 d,249848.8509,-21629.65625,-100.3125,129.09375,polonium
Phoi Aec QW-W d1-6,B 9 c,17577.62008,2212.9375,191.03125,-7285.46875,polonium
Qaugnaae SD-T c3-1,B 5 a,273164.2523,-3712.625,34.65625,55449.46875,polonium
Dryignaa RJ-X d2-2,B 3 c,58902.27005,23602.0625,-112.21875,40140.21875,polonium
Blie Eurl EP-L c22-1,B 2 b,18433.70014,27081.21875,411.59375,5044.25,polonium
Outoppy HP-D c26-5,BC 1 c,273323.9617,4143.34375,204.65625,-1199.375,polonium
Hegai QJ-G d11-0,CDEF 1 a,28564.44174,5863.65625,625.90625,-2660.34375,polonium
Eocs Aihm DK-D c26-0,B 7 e,348289.5627,21819.6875,137.34375,-10181.875,polonium
Hypi Eurk CZ-S d3-0,B 9 a,357220.9479,12492.6875,-13.71875,-16054.03125,polonium
Braitu LC-M c7-14,B 4 d,64801.95368,24542.34375,28.96875,44072.09375,polonium
Shaulaa UJ-I d9-25,B 4 c,74723.45051,-31575.1875,4.8125,29254.78125,polonium
Byeia Thoea WY-S d3-2,B 2 b,52489.94759,-32800.34375,-17,3126.46875,polonium
Thuecheae XR-H d11-69,BC 8 d,297141.8549,-2183.3125,-91.9375,53721.125,polonium
Eowyg Airg QN-B d13-1,B 6 b,31030.89427,-14301.0625,62.1875,-10173.15625,polonium
Oochost CL-F c14-0,B 2 a,399530.6772,-1183.34375,-63.46875,-1740.96875,polonium
Ooscs Broae JI-A d1-1,BC 4 f,67136.68357,28187.1875,919.21875,29769.6875,polonium
Fedgie NT-O d7-45,C 2 a,466073.5704,13634.03125,-90,-2925.09375,polonium
Gooroa JI-H d11-33,C 7 a,123616.19,26624.15625,-194.9375,39594.09375,polonium
Hypo Phlue VH-D c12-2,BC 8 g,236675.3004,-19617,39.875,-8214.84375,polonium
Flyua Eork VA-N d7-2,B 11 a,251285.0409,1298.625,-776.59375,-2958.96875,polonium
Vegnio OS-R d5-3,B 9 a,86916.67077,-18131.28125,959.84375,36584.75,polonium
Outopps YS-A c14-1,BC 2 e,312188.9859,-195.125,251.65625,-1720.125,polonium
Hypuae Ain NJ-G c24-0,BCD 1 b,20489.61282,561.75,18.28125,-5137.875,polonium
Braitu LC-M c7-14,B 3 a,64334.8079,24542.34375,28.96875,44072.09375,polonium
Smooruia IB-G c13-13,BC 4 a,91098.26205,-20464.875,-272.59375,39205.3125,polonium
Synookie OM-M d7-1,B 3 a,106874.71,33092.625,267.09375,12387.4375,polonium
Messier 78 Sector KR-W c1-9,B 9 a,176651.4794,726.34375,-438.71875,-1419.4375,polonium
Swueneia LT-Q e5-12,C 12 c,101176.0892,2682.96875,-68.53125,49825.71875,polonium
Flyue Gruia PJ-H d10-0,BC 2 a,275030.2802,-23980.03125,-983.5,51022,polonium
Hypi Eurk CZ-S d3-0,B 8 b,357924.4444,12492.6875,-13.71875,-16054.03125,polonium
Dryaea Aewsy UU-L c22-0,B 8 a,442184.8952,21379.21875,418.5625,-11623.625,polonium
Phroea Hypai ES-J d9-2,B 1 c,67997.83584,2860.53125,-688.875,-6638.375,polonium
Hypoae Aihm UF-A c29-2,B 6 d,200894.4634,3725.15625,578.0625,-4921.15625,polonium
Synuedia GR-E c14-0,B 3 a,53930.31053,-29500.28125,-190.5625,-428.40625,polonium
Byeia Bre NX-L d7-31,B 3 c,454845.2809,-2032.6875,12.15625,57226.28125,polonium
Hyuedau KC-D d12-6,BC 1 b,37149.42176,19972,30,-21.875,polonium
Plaa Briae OL-E c28-0,B 3 b,74057.82989,1093.71875,1112.375,51373.1875,polonium
Praea Chraei WS-T d3-16,BCD 2 a,54814.11977,-1473.53125,369.84375,49222.90625,polonium
Dryua Phoea SK-V d3-0,B 5 a,310973.4603,24469,-192.53125,-9702.5625,polonium
Dryo Aeb IP-Z c13-0,B 3 d,241892.9147,-15663.5625,-22.375,-11981,polonium
Pyriviae NR-C d66,B 5 a,167005.7423,-10376.46875,-147.125,54028.5,polonium
Col 89 Sector NV-O c6-23,B 3 a,377815.8628,896.34375,-65.375,-4475.21875,polonium
Pyult MW-N c9-18,B 11 b,439126.5866,100.125,-132.96875,-4483.625,polonium
Pliemoe ZU-R c7-1,B 2 b,154481.8237,33120.53125,-30,8251.28125,polonium
Nyauthou RF-L d9-23,B 4 c,87064.72718,-2044.71875,-81.34375,56125.84375,polonium
Chraufaa SL-B c14-0,B 1 a,143292.1208,-24203.90625,414.28125,2101.8125,polonium
Messier 78 Sector HB-X c1-1,B 8 c,21851.46138,745.09375,-382.90625,-1406.71875,polonium
Leech DK-I d9-2,B 2 a,150258.3737,11417.71875,2.90625,-15550.0625,polonium
Nyauthai GU-I c12-21,BC 4 b,86528.02014,-7155.09375,-69.5625,55805.15625,polonium
Pheia Ain EY-D c14-0,B 2 a,196099.4845,578.59375,899.65625,-4299.25,polonium
Preia Eoq VV-D d12-1,B 9 b,30460.24015,5367.84375,-928.28125,-1294.4375,polonium
NGC 2244 Sector JK-U c17-7,B 7 b,212757.2069,1869.5625,-161.53125,-3894.71875,polonium
Pyuphs PX-B d1,CD 4 d,109233.71,10920.5625,-498.53125,-4857.53125,polonium
Iorant AF-G c24-0,C 5 a,54319.36353,-303.1875,-24.9375,65256.03125,polonium
Swuenoe SM-O c8-2,BC 2 a,213809.9453,-5073.25,-349.4375,49233.625,polonium
Drootuia TI-Z d1-206,C 4 f,357731.5507,5047.5625,-93.3125,51588.125,polonium
Aidoms MT-U c2-0,BCD 2 d,26468.38834,9939.78125,-20.46875,-15020.375,polonium
Nuwo OP-N c23-1,BC 6 e,182684.5508,-1310.53125,-69.875,62671.5625,polonium
Hypisc WS-U d2-0,B 2 c,498460.9387,12267.59375,-24.09375,-8501.125,polonium
GSC 03315-00536,B 2 d,62098.13947,-5093.65625,-1455.375,-7748.15625,polonium
Gludgaa VJ-G d11-2,B 6 a,158849.0898,-125.40625,659.03125,-3879.84375,polonium
Eos Ain PR-N c6-0,B 1 b,359985.3058,492.90625,1.4375,-11015.9375,polonium
Dryaa Bliae YP-X c17-1,B 3 a,18464.75595,-33243.46875,-203.96875,29149.15625,polonium
Xothue SL-N c7-0,BC 2 c,13044.96685,-30938.65625,317.875,30004.125,polonium
Cyoide GI-M c10-3,B 2 c,15291.06955,2115.46875,-101.3125,-7008.0625,polonium
Ploo Phlue EN-A d14-2,B 10 a,334053.0289,34988.1875,381.46875,7828.15625,polonium
Pheia Aihm EW-N d6-17,B 3 a,179996.9329,8007.4375,98.125,-4284.34375,polonium
Phoadoae OY-P c19-0,B 13 a,141804.321,-32622.875,-1102.875,15140.875,polonium
Qautha GE-G c24-2,BC 4 b,36164.01832,13004.125,-17.3125,56330.71875,polonium
Oochorrs AC-T c20-2,BC 2 b,42585.10563,-44.4375,-29.71875,-1428.9375,polonium
Flya Ploe TW-W c4-1,B 11 a,442487.0266,25821.1875,-89.28125,37549.75,polonium
Nyauthou VM-L c24-5,B 1 d,207239.0753,-1612,-147.375,56296.03125,polonium
Hegue KM-D d12-3,DE 2 b,35776.38898,4931.875,208.28125,-2546.125,polonium
Blae Flyoae WT-I d9-0,B 2 d,456387.8275,-32376.5625,-1141.875,43258.625,polonium
Drootoae HQ-F c27-6,D 4 b,29378.36681,-14648.46875,-275.46875,52591.6875,polonium
Thuecheae KK-B c2-4,BC 1 b,93719.06191,-2535.59375,-226.5625,52783.875,polonium
Crab Sector FG-Y d5,B 11 a,221457.5723,540.28125,-746.03125,-6930.78125,polonium
Pyulz AT-I c10-0,B 2 a,82826.59433,8820.40625,-863.625,-4459.21875,polonium
Jueme XX-F d12-0,B 11 a,539030.197,-37104.15625,-98.4375,26867.8125,polonium
Pyurks WR-I c23-0,B 8 b,43268.78935,1558.5,-1139.28125,-3872.84375,polonium
Hypuae Ain TK-N c20-3,B 3 a,496181.2002,405.28125,48.25,-5273.96875,polonium
Myoidia BV-P d5-25,B 4 a,69331.41519,-17414.28125,185.375,-6918.09375,polonium
Gria Gree OV-K d9-12,B 2 c,110191.6242,-2605,-225.5625,57399.0625,polonium
Ploi Thua VP-G c10-14,B 2 a,160433.7553,-1207.09375,-21.25,-3181.65625,polonium
Drootie VK-A c3-6,B 3 b,565297.945,-657.84375,-101.5625,51536.625,polonium
Outotch JB-P c21-0,B 3 a,206707.5766,1499.09375,740.5,-1420.71875,polonium
Prie Aick CW-M c7-0,CD 2 a,17478.05549,-27981.28125,175.59375,10779.65625,polonium
Eolls Phio QY-U c5-3,B 2 d,426211.6205,22669.6875,-126.9375,-11029.5,polonium
Crab Sector EL-Y d0,B 2 c,299284.9937,579.5,-743.71875,-6972.6875,polonium
Hypiae Aip XV-K d9-4,B 3 e,28414.46315,4567.3125,1088.125,-5364.78125,polonium
Dryaea Airg LH-L c8-1,B 3 a,95080.29309,-9784.46875,223.8125,-9664.0625,polonium
Sigy BR-L d8-2,D 2 a,72476.99636,-12246,-654.9375,-11823.3125,polonium
Oochoxt CD-E c1-0,B 1 c,55422.22645,1540.15625,-63.6875,-2304.34375,polonium
Eocs Aihm YX-U d2-5,C 5 a,102695.2154,22831.15625,93.1875,-11061.59375,polonium
Plua Flee RT-H d10-11,BCD 2 b,455989.8897,-18322.28125,514.5625,38234.15625,polonium
Preae Chruia QB-I c24-8,D 12 b,24412.91087,2921.09375,393.75,49909.84375,polonium
Ceeckaea DY-S c20-0,B 4 f,63240.1642,-1541.40625,-93.3125,65112.8125,polonium
Pleia Chria IR-D d12-5,BC 1 c,51906.82816,-24519.09375,271.09375,48635.3125,polonium
Pyrivuae GU-A d3,B 6 b,303914.526,-6567.46875,-929,54018.3125,polonium
Striechie TJ-X d2-43,B 4 a,19828.24079,22430.3125,-132.875,47848.875,polonium
Cho Eur OV-X c1-0,B 7 a,52502.48067,9711.25,281.21875,60482.6875,polonium
Auphairsts MF-A c3-5,B 2 b,121138.9306,176.9375,-114.8125,50275.53125,polonium
Ihascs ZU-P d5-21,C 6 b,226575.764,24729.8125,140.875,45504.90625,polonium
Byeetho GL-P d5-11,CDE 2 a,19118.05692,27519.46875,2.65625,37858.96875,polonium
Phaa Eurl FI-B d13-3,B 2 c,486313.6389,2583.375,-18.71875,-14014.84375,polonium
Eos Chreou KR-C c26-0,B 3 a,50967.83965,-29660.8125,-20,28218.53125,polonium
Phooe Flaae NM-W d1-41,CD 1 d,179489.548,-27800.625,-14.625,23479.59375,polonium
Hypaa Hypoo TD-U c18-0,CD 2 b,366583.5422,-11512.9375,-570.625,-7942.03125,polonium
Schee Hypue PD-N c9-0,C 11 g,264290.2308,-4179.75,-302.46875,-8342.96875,polonium
Yepooe XO-Z d13-31,B 8 a,39355.66843,-29526.28125,2.03125,24503.375,polonium
Thuecho WY-H c26-9,B 5 b,424643.0561,-3181.40625,-165.71875,53827.40625,polonium
Tyroordy JU-B c2-6,B 3 b,36269.33684,-12636.8125,-179.84375,-11215.5,polonium
Pyrivo JX-X c3-14,BCD 5 a,29248.99403,-1836.21875,-245.15625,54138.71875,polonium
Hypheesms WN-B d1,B 8 a,517485.0024,-13171.21875,-648.65625,-4890.1875,polonium
Eactaisky FH-U d3-4,BCD 3 c,34833.59126,-20244.84375,575.125,42835.53125,polonium
Spliehn BL-O d6-0,CD 6 b,112369.7295,17161.5625,335.46875,-13276.8125,polonium
Ploo Phlue WA-E d12-1,BC 4 c,136690.3167,34977.4375,381.84375,7671.3125,polonium
Phroi Phoe EX-Y c28-0,B 5 e,22292.37385,-302.40625,-979.9375,-3661.3125,polonium
Syroangooe YB-J d10-0,B 4 a,63695.76701,-21336,-256.125,42060.03125,polonium
Wegnoe EL-P d5-5,B 4 c,87049.83346,24784.96875,17.75,36606.5625,polonium
Pla Phla YE-G c24-1,B 3 d,32228.29247,34208.6875,-21.5625,7668.4375,polonium
Plae Broo NT-Q d5-1,C 8 b,380247.7023,-24106.625,555.5625,50635.46875,polonium
Slyaiks YY-S c6-0,B 3 b,178709.9611,-2624.34375,-179.125,-8459.28125,polonium
Hypiae Aihm TY-X c15-2,BC 6 f,21840.28449,2157.46875,379.84375,-5488.5625,polonium
Qiedeau OO-P d6-2,B 2 c,191611.1591,435.78125,-496.09375,-5617.4375,polonium
Hypiae Aec YJ-I d9-25,B 10 a,25353.03539,2021.90625,51.5,-7914.90625,polonium
Hypuae Ain TL-A c28-0,BCD 4 c,18286.99965,650.0625,290.3125,-4948.15625,polonium
Preou Thua DC-D d12-41,B 2 b,175349.0651,19404,-16.5625,-1274.4375,polonium
Puwhoi AX-A c27-0,B 1 b,13653.65103,4360.40625,10.28125,62838.3125,polonium
Sutchaa IA-C c14-1,B 2 a,37235.72581,-5175.28125,505.21875,49479.59375,polonium
Auphaibs EN-M c10-7,B 5 a,196261.6631,-447.5,-34.65625,50607.03125,polonium
Blae Eohm WL-C d13-0,B 8 f,154532.821,-30399.03125,-764.78125,2677.65625,polonium
Flyooe Proae UQ-T d4-0,B 4 b,129063.0796,-33340.65625,-258.15625,40309.71875,polonium
Pyriveae GE-F d12-25,BC 1 f,102023.5715,-1148.90625,-354.3125,55079.03125,polonium
Eambaiwls EC-B d1-12,B 1 c a,93328.49604,-26568.75,-82.0625,29745.0625,polonium
Spliem WD-K d8-1,BC 2 a b,50865.82157,12429.75,-14.875,-13139.75,polonium
Flyue Eop FW-U d3-0,B 7 d a,477757.9127,17334.125,-433.625,-3269.5625,polonium
Pyriveae UL-K d9-47,BCD 2 c a,39184.69237,-1171.71875,-358.625,54853.28125,tellurium
Pra Eohn MI-B e3,BC 3 d a,266808.5388,15306.875,-160,-2313.53125,tellurium
Hypoea Hypooe RD-I d10-0,D 7 c a,88673.08445,-18063.5625,-633.125,-7844.71875,tellurium
Spooroae AU-R d4-65,B 5 a,257970.8444,-23375.25,253.5,39030.625,tellurium
Oochost AH-J d10-1,D 7 e,346661.5521,-490,-160.625,-1432.15625,tellurium
Eolls Phio RP-V d3-10,C 2 c,186387.4075,21945.71875,-148.90625,-10961.21875,tellurium
Pyrivo LY-Y d1-3,C 4 d a,116925.5537,-2360.03125,-188.09375,54196.625,tellurium
Dryu Airg TD-K d8-27,B 12 a,29834,-10827.75,20.46875,-9256.3125,tellurium
Cho Thaa AF-H d10-2,B 1 a,252437.9311,-2771.34375,218.28125,58695.5,tellurium
Qoefou AR-C d130,B 9 e a,25771.17317,-15255,-127.15625,42476.625,tellurium
Praea Bre HF-R d4-122,B 6 c a,274897.4003,-1561.46875,-8.25,51888.34375,tellurium
Thuecheae WR-H d11-6,C 3 a,45600.6151,-2248.75,-44.625,53665.1875,tellurium
Plooe Fruia GQ-X d1-2,B 3 c a,78307.72537,-22231.125,487.96875,40089.53125,tellurium
Spliehn CV-G d10-4,D 1 f a,53745.4324,17590.03125,108.53125,-12946.25,tellurium
Preae Theia HD-I d10-3,D 7 a,200000.4137,2964.375,686.34375,-1421.40625,tellurium
Scoagaae TN-H c11-3,BC 2 d a,17744.61097,25279.0625,546,41659.78125,tellurium
Slachu VA-L d9-11,BC 2 a,15353.33696,-33852,-166.75,45849.4375,tellurium
Gludgeia TU-G d10-41,C 3 a,77441.18558,1490.59375,62.21875,-3988.34375,tellurium
Thuecheae CY-F d12-51,B 1 a,318352.7348,-2135.8125,-29.15625,53744,tellurium
Ooctas LD-K d8-0,B 3 a,49616.26285,2604.375,2.5625,59854.46875,tellurium
Xothue UH-V d2-2,BC 4 a,20673.53588,-30933.96875,230.8125,29900.1875,tellurium
Spliehn YG-D d12-0,B 1 e,96039.51536,16629.875,67.8125,-12771.25,tellurium
Phrae Hypoo HI-R d5-1,B 1 c,124586.8685,-11342.125,-491.8125,-6975.75,tellurium
Swuenaa NE-X d2-29,B 3 a,54393.19436,20.59375,-254.125,49121.0625,tellurium
Schafuia IS-S d4-3,BC 5 a,200913.772,-15076.65625,632.59375,-8336.21875,tellurium
Preae Thae DG-X d1-5,B 8 e,291318.1935,5302.71875,301.96875,-2162.65625,tellurium
Outotz GX-K d8-5,BC 5 a,93166.67107,256.25,354.90625,-1591.28125,tellurium
Thuecheae NF-L d9-37,B 2 a,239003.6362,-2318.375,-34.90625,53566.78125,tellurium
Gru Eaewsy ER-U c19-0,B 1 a,196098.4941,-35637.3125,-103.59375,16430.125,tellurium
Oochosy MT-B c16-3,B 2 a,121980.7524,5004.625,-99.625,-1645.40625,tellurium
Ploo Phlue RU-F d11-0,B 1 a,391219.2016,34907.96875,380.28125,7577.5,tellurium
Xothae GY-L c7-0,B 1 d,223451.2392,-36118.375,-7.03125,29981.875,tellurium
Hypiae Aihm BF-A d51,C 2 a,255724.9496,1462.5,90.375,-6174.15625,tellurium
Plio Brou ZA-O d6-109,B 3 c,61288.43268,3908.0625,166.96875,50714.5625,tellurium
Phroi Hypai QU-E d12-3,BC 2 c,35764.66379,7028.8125,-562.9375,-6403.5,tellurium
Hege FF-R d4-10,BCD 1 a,74064.64095,7283.46875,24.84375,-3164.78125,tellurium
Prie Thae EC-M d7-0,BCD 1 g,181120.7522,25577.84375,103.75,-1674.53125,tellurium
Bleae Thoea RI-B d13-0,BC 5 b,173628.5131,-33576.90625,15.90625,2694.6875,tellurium
Hypiae Aip DA-Q d5-73,B 7 b,379366.724,4656.03125,284.40625,-5656.625,tellurium
Prua Byio ER-K d9-39,D 7 a,217531.0833,2340.25,-276.65625,52287.8125,tellurium
